checking_balance,months_loan_duration,credit_history,purpose_of_loan,amount,savings_balance_(ex real estate),employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credit_facilities,default(1=no),dependents,landline,foreign_worker,job
$1 - $1000,36,repaid,repairs,2384,< $500,0 - 1 yrs,4,single male,none,1,unknown,33,none,rent,1,2,1,none,yes,unskilled resident
unknown,12,repaid,new vehicle,2133,unknown,> 7 yrs,4,female,none,4,unknown,52,none,for free,1,1,1,yes,yes,mangement self-employed
< $0,18,repaid,furniture,2039,< $500,1 - 4 yrs,1,female,none,4,real estate,20,bank,rent,1,2,1,none,yes,skilled employee
< $0,9,critical,new vehicle,2799,< $500,1 - 4 yrs,2,single male,none,2,real estate,36,none,rent,2,1,2,none,yes,skilled employee
< $0,12,repaid,furniture,1289,< $500,1 - 4 yrs,4,single male,guarantor,1,building society savings,21,none,own,1,1,1,none,yes,unskilled resident
< $0,18,repaid,domestic appliances,1217,< $500,1 - 4 yrs,4,married male,none,3,real estate,47,none,own,1,2,1,yes,yes,unskilled resident
< $0,12,critical,furniture,2246,< $500,> 7 yrs,3,single male,none,3,building society savings,60,none,own,2,2,1,none,yes,skilled employee
< $0,12,critical,electronics/home entertainment,385,< $500,4 - 7 yrs,4,female,none,3,real estate,58,none,own,4,1,1,yes,yes,unskilled resident
$1 - $1000,24,delayed,new vehicle,1965,unknown,1 - 4 yrs,4,female,none,4,other,42,none,rent,2,1,1,yes,yes,skilled employee
unknown,21,repaid,business,1572,> $2000,> 7 yrs,4,female,none,4,real estate,36,bank,own,1,1,1,none,yes,unskilled resident
$1 - $1000,24,repaid,new vehicle,2718,< $500,1 - 4 yrs,3,female,none,4,building society savings,20,none,rent,1,2,1,yes,yes,unskilled resident
< $0,24,fully repaid this bank,others,1358,unknown,> 7 yrs,4,single male,none,3,other,40,stores,own,1,2,1,yes,yes,mangement self-employed
$1 - $1000,6,fully repaid this bank,new vehicle,931,$1001 - $2000,0 - 1 yrs,1,female,none,1,building society savings,32,stores,own,1,2,1,none,yes,unskilled resident
< $0,24,repaid,new vehicle,1442,< $500,4 - 7 yrs,4,female,none,4,other,23,none,rent,2,2,1,none,yes,skilled employee
$1 - $1000,24,fully repaid,business,4241,< $500,1 - 4 yrs,1,single male,none,4,real estate,36,none,own,3,2,1,yes,yes,unskilled resident
unknown,18,critical,new vehicle,2775,< $500,4 - 7 yrs,2,single male,none,2,building society savings,31,bank,own,2,2,1,none,yes,skilled employee
unknown,24,delayed,business,3863,< $500,1 - 4 yrs,1,single male,none,2,unknown,32,none,for free,1,1,1,none,yes,skilled employee
$1 - $1000,7,repaid,electronics/home entertainment,2329,< $500,0 - 1 yrs,1,female,guarantor,1,real estate,45,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,9,repaid,furniture,918,< $500,1 - 4 yrs,4,female,none,1,building society savings,30,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,24,fully repaid this bank,education,1837,< $500,4 - 7 yrs,4,female,none,4,unknown,34,bank,for free,1,2,1,none,yes,unskilled resident
unknown,36,repaid,furniture,3349,< $500,1 - 4 yrs,4,female,none,2,other,28,none,own,1,2,1,yes,yes,mangement self-employed
> $1000,10,repaid,furniture,1275,< $500,0 - 1 yrs,4,female,none,2,building society savings,23,none,own,1,1,1,none,yes,skilled employee
< $0,24,fully repaid this bank,furniture,2828,$501 - $1000,1 - 4 yrs,4,single male,none,4,real estate,22,stores,own,1,1,1,yes,yes,skilled employee
unknown,24,critical,business,4526,< $500,1 - 4 yrs,3,single male,none,2,real estate,74,none,own,1,1,1,yes,yes,mangement self-employed
$1 - $1000,36,repaid,electronics/home entertainment,2671,$1001 - $2000,1 - 4 yrs,4,female,co-applicant,4,unknown,50,none,for free,1,2,1,none,yes,skilled employee
unknown,18,repaid,electronics/home entertainment,2051,< $500,0 - 1 yrs,4,single male,none,1,real estate,33,none,own,1,1,1,none,yes,skilled employee
unknown,15,repaid,used vehicle,1300,unknown,> 7 yrs,4,single male,none,4,unknown,45,bank,for free,1,1,2,none,yes,skilled employee
< $0,12,repaid,domestic appliances,741,$1001 - $2000,unemployed,4,female,none,3,building society savings,22,none,own,1,2,1,none,yes,skilled employee
> $1000,10,repaid,new vehicle,1240,$1001 - $2000,> 7 yrs,1,female,none,4,unknown,48,none,for free,1,2,2,none,yes,unskilled resident
< $0,21,repaid,electronics/home entertainment,3357,> $2000,0 - 1 yrs,4,female,none,2,other,29,bank,own,1,1,1,none,yes,skilled employee
< $0,24,fully repaid this bank,used vehicle,3632,< $500,1 - 4 yrs,1,female,guarantor,4,other,22,bank,rent,1,1,1,none,no,skilled employee
unknown,18,delayed,furniture,1808,< $500,4 - 7 yrs,4,female,none,1,real estate,22,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,48,fully repaid,business,12204,unknown,1 - 4 yrs,2,single male,none,2,other,48,bank,own,1,1,1,yes,yes,mangement self-employed
$1 - $1000,60,delayed,electronics/home entertainment,9157,unknown,1 - 4 yrs,2,single male,none,2,unknown,27,none,for free,1,1,1,none,yes,mangement self-employed
< $0,6,critical,new vehicle,3676,< $500,1 - 4 yrs,1,single male,none,3,real estate,37,none,rent,3,1,2,none,yes,skilled employee
$1 - $1000,30,repaid,furniture,3441,$1001 - $2000,1 - 4 yrs,2,female,co-applicant,4,other,21,none,rent,1,2,1,none,yes,skilled employee
unknown,12,repaid,new vehicle,640,< $500,1 - 4 yrs,4,divorced male,none,2,real estate,49,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,21,critical,business,3652,< $500,4 - 7 yrs,2,single male,none,3,building society savings,27,none,own,2,1,1,none,yes,skilled employee
unknown,18,critical,new vehicle,1530,< $500,1 - 4 yrs,3,single male,none,2,building society savings,32,bank,own,2,2,1,none,yes,skilled employee
unknown,48,repaid,business,3914,unknown,1 - 4 yrs,4,divorced male,none,2,real estate,38,bank,own,1,2,1,none,yes,skilled employee
< $0,12,repaid,furniture,1858,< $500,0 - 1 yrs,4,female,none,1,other,22,none,rent,1,1,1,none,yes,skilled employee
< $0,18,repaid,electronics/home entertainment,2600,< $500,1 - 4 yrs,4,single male,none,4,unknown,65,none,for free,2,2,1,none,yes,skilled employee
unknown,15,repaid,electronics/home entertainment,1979,unknown,> 7 yrs,4,single male,none,2,other,35,none,own,1,1,1,none,yes,skilled employee
> $1000,6,repaid,furniture,2116,< $500,1 - 4 yrs,2,single male,none,2,real estate,41,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,9,fully repaid this bank,new vehicle,1437,$1001 - $2000,4 - 7 yrs,2,single male,none,3,unknown,29,none,own,1,2,1,none,yes,skilled employee
unknown,42,critical,furniture,4042,$501 - $1000,1 - 4 yrs,4,single male,none,4,real estate,36,none,own,2,1,1,yes,yes,skilled employee
unknown,9,repaid,education,3832,unknown,> 7 yrs,1,single male,none,4,real estate,64,none,own,1,1,1,none,yes,unskilled resident
< $0,24,repaid,electronics/home entertainment,3660,< $500,1 - 4 yrs,2,female,none,4,other,28,none,own,1,1,1,none,yes,skilled employee
< $0,18,fully repaid this bank,furniture,1553,< $500,1 - 4 yrs,4,single male,none,3,other,44,bank,own,1,2,1,none,yes,skilled employee
$1 - $1000,15,repaid,electronics/home entertainment,1444,unknown,0 - 1 yrs,4,single male,none,1,building society savings,23,none,own,1,1,1,none,yes,skilled employee
unknown,9,repaid,furniture,1980,< $500,0 - 1 yrs,2,female,co-applicant,2,other,19,none,rent,2,2,1,none,yes,skilled employee
$1 - $1000,24,repaid,new vehicle,1355,< $500,0 - 1 yrs,3,female,none,4,other,25,none,own,1,2,1,yes,yes,unskilled resident
unknown,12,repaid,education,1393,< $500,> 7 yrs,4,single male,none,4,building society savings,47,bank,own,3,1,2,yes,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,1376,$501 - $1000,4 - 7 yrs,4,female,none,1,other,28,none,own,1,1,1,none,yes,skilled employee
unknown,60,delayed,electronics/home entertainment,15653,< $500,4 - 7 yrs,2,single male,none,4,other,21,none,own,2,1,1,yes,yes,skilled employee
unknown,12,repaid,electronics/home entertainment,1493,< $500,0 - 1 yrs,4,female,none,3,other,34,none,own,1,1,2,none,yes,skilled employee
< $0,42,delayed,electronics/home entertainment,4370,< $500,4 - 7 yrs,3,single male,none,2,building society savings,26,bank,own,2,2,2,yes,yes,skilled employee
< $0,18,repaid,education,750,< $500,unemployed,4,female,none,1,real estate,27,none,own,1,2,1,none,yes,unemployed non-resident
$1 - $1000,15,repaid,repairs,1308,< $500,> 7 yrs,4,single male,none,4,other,38,none,own,2,1,1,none,yes,unskilled resident
unknown,15,repaid,education,4623,$1001 - $2000,1 - 4 yrs,3,single male,none,2,building society savings,40,none,own,1,2,1,yes,yes,mangement self-employed
unknown,24,critical,electronics/home entertainment,1851,< $500,4 - 7 yrs,4,married male,guarantor,2,other,33,none,own,2,1,1,yes,yes,skilled employee
< $0,18,critical,electronics/home entertainment,1880,< $500,4 - 7 yrs,4,married male,none,1,building society savings,32,none,own,2,1,1,yes,yes,mangement self-employed
unknown,36,delayed,business,7980,unknown,0 - 1 yrs,4,single male,none,4,other,27,none,rent,2,2,1,yes,yes,skilled employee
< $0,30,fully repaid,furniture,4583,< $500,1 - 4 yrs,2,divorced male,guarantor,2,real estate,32,none,own,2,1,1,none,yes,skilled employee
unknown,12,repaid,new vehicle,1386,$501 - $1000,1 - 4 yrs,2,female,none,2,building society savings,26,none,own,1,2,1,none,yes,skilled employee
> $1000,24,repaid,new vehicle,947,< $500,4 - 7 yrs,4,single male,none,3,unknown,38,bank,for free,1,2,2,none,yes,skilled employee
< $0,12,repaid,education,684,< $500,1 - 4 yrs,4,single male,none,4,other,40,none,rent,1,2,2,none,yes,unskilled resident
< $0,48,repaid,education,7476,< $500,4 - 7 yrs,4,single male,none,1,unknown,50,none,for free,1,1,1,yes,yes,mangement self-employed
$1 - $1000,12,repaid,furniture,1922,< $500,1 - 4 yrs,4,single male,none,2,building society savings,37,none,own,1,2,1,none,yes,unskilled resident
< $0,24,repaid,new vehicle,2303,< $500,> 7 yrs,4,single male,co-applicant,1,real estate,45,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,36,delayed,new vehicle,8086,$1001 - $2000,> 7 yrs,2,single male,none,4,other,42,none,own,4,2,1,yes,yes,mangement self-employed
unknown,24,critical,used vehicle,2346,< $500,4 - 7 yrs,4,single male,none,3,other,35,none,own,2,1,1,yes,yes,skilled employee
< $0,14,repaid,new vehicle,3973,< $500,unemployed,1,single male,none,4,unknown,22,none,for free,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,new vehicle,888,< $500,> 7 yrs,4,single male,none,4,other,41,bank,own,1,2,2,none,yes,unskilled resident
unknown,48,repaid,electronics/home entertainment,10222,unknown,4 - 7 yrs,4,single male,none,3,other,37,stores,own,1,1,1,yes,yes,skilled employee
$1 - $1000,30,fully repaid,business,4221,< $500,1 - 4 yrs,2,female,none,1,other,28,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,18,critical,furniture,6361,< $500,> 7 yrs,2,single male,none,1,unknown,41,none,own,1,1,1,yes,yes,skilled employee
> $1000,12,repaid,electronics/home entertainment,1297,< $500,1 - 4 yrs,3,married male,none,4,real estate,23,none,rent,1,1,1,none,yes,skilled employee
< $0,12,repaid,new vehicle,900,unknown,1 - 4 yrs,4,married male,none,2,other,23,none,own,1,2,1,none,yes,skilled employee
unknown,21,repaid,furniture,2241,< $500,> 7 yrs,4,single male,none,2,real estate,50,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,6,delayed,furniture,1050,< $500,unemployed,4,single male,none,1,building society savings,35,stores,own,2,1,1,yes,yes,mangement self-employed
> $1000,6,critical,education,1047,< $500,1 - 4 yrs,2,female,none,4,building society savings,50,none,own,1,1,1,none,yes,unskilled resident
unknown,24,critical,others,6314,< $500,unemployed,4,single male,co-applicant,2,unknown,27,bank,own,2,1,1,yes,yes,mangement self-employed
$1 - $1000,30,fully repaid this bank,furniture,3496,> $2000,1 - 4 yrs,4,single male,none,2,other,34,stores,own,1,1,2,yes,yes,skilled employee
unknown,48,fully repaid this bank,business,3609,< $500,1 - 4 yrs,1,female,none,1,real estate,27,stores,own,1,1,1,none,yes,skilled employee
< $0,12,critical,new vehicle,4843,< $500,> 7 yrs,3,single male,co-applicant,4,building society savings,43,none,rent,2,2,1,yes,yes,skilled employee
> $1000,30,critical,electronics/home entertainment,3017,< $500,> 7 yrs,4,single male,none,4,building society savings,47,none,own,1,1,1,none,yes,skilled employee
unknown,24,critical,business,4139,$1001 - $2000,1 - 4 yrs,3,single male,none,3,building society savings,27,none,own,2,1,1,yes,yes,unskilled resident
unknown,36,repaid,business,5742,$1001 - $2000,4 - 7 yrs,2,single male,none,2,other,31,none,own,2,1,1,yes,yes,skilled employee
unknown,60,repaid,new vehicle,10366,< $500,> 7 yrs,2,single male,none,4,building society savings,42,none,own,1,1,1,yes,yes,mangement self-employed
unknown,6,critical,new vehicle,2080,$501 - $1000,1 - 4 yrs,1,married male,none,2,other,24,none,own,1,1,1,none,yes,skilled employee
unknown,21,delayed,business,2580,$501 - $1000,0 - 1 yrs,4,single male,none,2,real estate,41,bank,own,1,2,2,none,yes,unskilled resident
unknown,30,critical,electronics/home entertainment,4530,< $500,4 - 7 yrs,4,female,none,4,other,26,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,24,critical,furniture,5150,< $500,> 7 yrs,4,single male,none,4,other,33,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,72,repaid,electronics/home entertainment,5595,$1001 - $2000,1 - 4 yrs,2,married male,none,2,other,24,none,own,1,2,1,none,yes,skilled employee
< $0,24,repaid,electronics/home entertainment,2384,< $500,> 7 yrs,4,single male,none,4,real estate,64,bank,rent,1,1,1,none,yes,unskilled resident
unknown,18,repaid,electronics/home entertainment,1453,< $500,0 - 1 yrs,3,female,none,1,real estate,26,none,own,1,1,1,none,yes,skilled employee
unknown,6,repaid,education,1538,< $500,0 - 1 yrs,1,female,none,2,unknown,56,none,own,1,1,1,none,yes,skilled employee
unknown,12,repaid,electronics/home entertainment,2279,unknown,1 - 4 yrs,4,single male,none,4,unknown,37,none,for free,1,1,1,yes,yes,skilled employee
unknown,15,delayed,electronics/home entertainment,1478,< $500,1 - 4 yrs,4,married male,none,3,real estate,33,bank,own,2,1,1,none,yes,skilled employee
unknown,24,critical,electronics/home entertainment,5103,< $500,0 - 1 yrs,3,married male,none,3,unknown,47,none,for free,3,1,1,yes,yes,skilled employee
$1 - $1000,36,delayed,business,9857,$1001 - $2000,4 - 7 yrs,1,single male,none,3,building society savings,31,none,own,2,1,2,yes,yes,unskilled resident
unknown,60,repaid,new vehicle,6527,unknown,1 - 4 yrs,4,single male,none,4,unknown,34,none,for free,1,1,2,yes,yes,skilled employee
> $1000,10,critical,electronics/home entertainment,1347,unknown,4 - 7 yrs,4,single male,none,2,building society savings,27,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,36,delayed,new vehicle,2862,$1001 - $2000,> 7 yrs,4,single male,none,3,unknown,30,none,for free,1,1,1,none,yes,skilled employee
unknown,9,repaid,electronics/home entertainment,2753,$1001 - $2000,> 7 yrs,3,single male,co-applicant,4,other,35,none,own,1,1,1,yes,yes,skilled employee
< $0,12,repaid,new vehicle,3651,> $2000,1 - 4 yrs,1,single male,none,3,building society savings,31,none,own,1,1,2,none,yes,skilled employee
< $0,15,critical,furniture,975,< $500,1 - 4 yrs,2,divorced male,none,3,building society savings,25,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,15,repaid,repairs,2631,$1001 - $2000,1 - 4 yrs,3,female,none,2,real estate,25,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,24,repaid,electronics/home entertainment,2896,$1001 - $2000,0 - 1 yrs,2,single male,none,1,other,29,none,own,1,1,1,none,yes,skilled employee
< $0,6,critical,new vehicle,4716,unknown,0 - 1 yrs,1,single male,none,3,real estate,44,none,own,2,1,2,none,yes,unskilled resident
unknown,24,repaid,electronics/home entertainment,2284,< $500,4 - 7 yrs,4,single male,none,2,other,28,none,own,1,1,1,yes,yes,skilled employee
unknown,6,repaid,used vehicle,1236,$501 - $1000,1 - 4 yrs,2,single male,none,4,building society savings,50,none,rent,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,electronics/home entertainment,1103,< $500,4 - 7 yrs,4,single male,guarantor,3,real estate,29,none,own,2,1,1,none,no,skilled employee
unknown,12,critical,new vehicle,926,< $500,unemployed,1,female,none,2,building society savings,38,none,own,1,1,1,none,yes,unemployed non-resident
unknown,18,critical,electronics/home entertainment,1800,< $500,1 - 4 yrs,4,single male,none,2,other,24,none,own,2,1,1,none,yes,skilled employee
> $1000,15,repaid,education,1905,< $500,> 7 yrs,4,single male,none,4,other,40,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,12,repaid,furniture,1123,$501 - $1000,1 - 4 yrs,4,female,none,4,other,29,none,rent,1,2,1,none,yes,unskilled resident
< $0,48,critical,used vehicle,6331,< $500,> 7 yrs,4,single male,none,4,unknown,46,none,for free,2,2,1,yes,yes,skilled employee
> $1000,24,repaid,electronics/home entertainment,1377,$1001 - $2000,> 7 yrs,4,female,none,2,unknown,47,none,for free,1,1,1,yes,yes,skilled employee
$1 - $1000,30,delayed,business,2503,$1001 - $2000,> 7 yrs,4,single male,none,2,building society savings,41,stores,own,2,1,1,none,yes,skilled employee
$1 - $1000,27,repaid,business,2528,< $500,0 - 1 yrs,4,female,none,1,building society savings,32,none,own,1,1,2,yes,yes,skilled employee
unknown,15,repaid,new vehicle,5324,$501 - $1000,> 7 yrs,1,female,none,4,unknown,35,none,for free,1,1,1,none,yes,skilled employee
$1 - $1000,48,repaid,new vehicle,6560,$1001 - $2000,4 - 7 yrs,3,single male,none,2,building society savings,24,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,12,fully repaid,furniture,2969,< $500,0 - 1 yrs,4,female,none,3,building society savings,25,none,rent,2,2,1,none,yes,skilled employee
$1 - $1000,9,repaid,electronics/home entertainment,1206,< $500,> 7 yrs,4,female,none,4,real estate,25,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,9,repaid,electronics/home entertainment,2118,< $500,1 - 4 yrs,2,single male,none,2,real estate,37,none,own,1,1,2,none,yes,unskilled resident
unknown,18,critical,electronics/home entertainment,629,$501 - $1000,> 7 yrs,4,single male,none,3,building society savings,32,bank,own,2,1,1,yes,yes,mangement self-employed
< $0,6,fully repaid this bank,education,1198,< $500,> 7 yrs,4,female,none,4,unknown,35,none,for free,1,2,1,none,yes,skilled employee
unknown,21,repaid,used vehicle,2476,unknown,> 7 yrs,4,single male,none,4,real estate,46,none,own,1,1,1,yes,yes,mangement self-employed
< $0,9,critical,electronics/home entertainment,1138,< $500,1 - 4 yrs,4,single male,none,4,real estate,25,none,own,2,1,1,none,yes,unskilled resident
$1 - $1000,60,repaid,new vehicle,14027,< $500,4 - 7 yrs,4,single male,none,2,unknown,27,none,own,1,2,1,yes,yes,mangement self-employed
unknown,30,critical,used vehicle,7596,unknown,> 7 yrs,1,single male,none,4,other,63,none,own,2,1,1,none,yes,skilled employee
unknown,30,critical,electronics/home entertainment,3077,unknown,> 7 yrs,3,single male,none,2,other,40,none,own,2,1,2,yes,yes,skilled employee
unknown,18,repaid,electronics/home entertainment,1505,< $500,1 - 4 yrs,4,single male,none,2,unknown,32,none,for free,1,1,1,yes,yes,mangement self-employed
> $1000,24,critical,electronics/home entertainment,3148,unknown,1 - 4 yrs,3,single male,none,2,other,31,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,20,fully repaid,used vehicle,6148,$1001 - $2000,> 7 yrs,3,married male,none,4,other,31,bank,own,2,1,1,yes,yes,skilled employee
> $1000,9,fully repaid,electronics/home entertainment,1337,< $500,0 - 1 yrs,4,single male,none,2,other,34,none,own,2,2,1,yes,yes,mangement self-employed
$1 - $1000,6,fully repaid this bank,education,433,> $2000,0 - 1 yrs,4,female,none,2,building society savings,24,bank,rent,1,2,2,none,yes,skilled employee
< $0,12,repaid,new vehicle,1228,< $500,1 - 4 yrs,4,female,none,2,real estate,24,none,own,1,2,1,none,yes,unskilled resident
$1 - $1000,9,repaid,electronics/home entertainment,790,$501 - $1000,1 - 4 yrs,4,female,none,3,real estate,66,none,own,1,1,1,none,yes,unskilled resident
unknown,27,repaid,new vehicle,2570,< $500,1 - 4 yrs,3,female,none,3,real estate,21,none,rent,1,2,1,none,yes,skilled employee
unknown,6,critical,new vehicle,250,> $2000,1 - 4 yrs,2,female,none,2,real estate,41,bank,own,2,1,1,none,yes,unskilled resident
unknown,15,critical,electronics/home entertainment,1316,$501 - $1000,1 - 4 yrs,2,married male,none,2,building society savings,47,none,own,2,1,1,none,yes,unskilled resident
< $0,18,repaid,electronics/home entertainment,1882,< $500,1 - 4 yrs,4,female,none,4,other,25,bank,rent,2,2,1,none,yes,skilled employee
$1 - $1000,48,fully repaid this bank,business,6416,< $500,> 7 yrs,4,female,none,3,unknown,59,none,rent,1,2,1,none,yes,skilled employee
> $1000,24,critical,business,1275,> $2000,1 - 4 yrs,2,divorced male,none,4,real estate,36,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,24,delayed,electronics/home entertainment,6403,< $500,0 - 1 yrs,1,single male,none,2,other,33,none,own,1,1,1,none,yes,skilled employee
< $0,24,repaid,electronics/home entertainment,1987,< $500,1 - 4 yrs,2,single male,none,4,real estate,21,none,rent,1,2,2,none,yes,unskilled resident
$1 - $1000,8,repaid,electronics/home entertainment,760,< $500,4 - 7 yrs,4,female,guarantor,2,real estate,44,none,own,1,1,1,none,yes,unskilled resident
unknown,24,repaid,used vehicle,2603,> $2000,1 - 4 yrs,2,female,none,4,other,28,none,rent,1,1,1,yes,yes,skilled employee
unknown,4,critical,new vehicle,3380,< $500,4 - 7 yrs,1,female,none,1,real estate,37,none,own,1,1,2,none,yes,skilled employee
$1 - $1000,36,fully repaid this bank,domestic appliances,3990,unknown,0 - 1 yrs,3,female,none,2,unknown,29,bank,own,1,1,1,none,yes,unemployed non-resident
$1 - $1000,24,repaid,used vehicle,11560,< $500,1 - 4 yrs,1,female,none,4,other,23,none,rent,2,2,1,none,yes,mangement self-employed
< $0,18,repaid,new vehicle,4380,$1001 - $2000,1 - 4 yrs,3,single male,none,4,other,35,none,own,1,1,2,yes,yes,unskilled resident
unknown,6,critical,new vehicle,6761,< $500,4 - 7 yrs,1,single male,none,3,unknown,45,none,own,2,1,2,yes,yes,mangement self-employed
$1 - $1000,30,fully repaid,business,4280,$1001 - $2000,1 - 4 yrs,4,female,none,4,other,26,none,rent,2,2,1,none,yes,unskilled resident
< $0,24,fully repaid this bank,new vehicle,2325,$1001 - $2000,4 - 7 yrs,2,single male,none,3,other,32,bank,own,1,1,1,none,yes,skilled employee
$1 - $1000,10,fully repaid this bank,electronics/home entertainment,1048,< $500,1 - 4 yrs,4,single male,none,4,real estate,23,stores,own,1,1,1,none,yes,unskilled resident
unknown,21,repaid,electronics/home entertainment,3160,unknown,> 7 yrs,4,single male,none,3,building society savings,41,none,own,1,1,1,yes,yes,skilled employee
< $0,24,fully repaid this bank,furniture,2483,$501 - $1000,1 - 4 yrs,4,single male,none,4,real estate,22,stores,own,1,1,1,yes,yes,skilled employee
< $0,39,critical,furniture,14179,unknown,4 - 7 yrs,4,single male,none,4,building society savings,30,none,own,2,1,1,yes,yes,mangement self-employed
< $0,13,critical,business,1797,< $500,0 - 1 yrs,3,single male,none,1,building society savings,28,bank,own,2,1,1,none,yes,unskilled resident
< $0,15,repaid,new vehicle,2511,< $500,unemployed,1,female,none,4,other,23,none,rent,1,1,1,none,yes,skilled employee
< $0,12,repaid,new vehicle,1274,< $500,0 - 1 yrs,3,female,none,1,real estate,37,none,own,1,2,1,none,yes,unskilled resident
unknown,21,repaid,used vehicle,5248,unknown,1 - 4 yrs,1,single male,none,3,other,26,none,own,1,1,1,none,yes,skilled employee
unknown,15,repaid,used vehicle,3029,< $500,4 - 7 yrs,2,single male,none,2,other,33,none,own,1,1,1,none,yes,skilled employee
< $0,6,repaid,furniture,428,< $500,> 7 yrs,2,female,none,1,building society savings,49,bank,own,1,1,1,yes,yes,skilled employee
< $0,18,repaid,new vehicle,976,< $500,0 - 1 yrs,1,female,none,2,other,23,none,own,1,2,1,none,yes,unskilled resident
$1 - $1000,12,repaid,business,841,$1001 - $2000,4 - 7 yrs,2,female,none,4,real estate,23,none,rent,1,1,1,none,yes,unskilled resident
unknown,30,critical,electronics/home entertainment,5771,< $500,4 - 7 yrs,4,female,none,2,other,25,none,own,2,1,1,none,yes,skilled employee
unknown,12,delayed,repairs,1555,> $2000,> 7 yrs,4,single male,none,4,unknown,55,none,for free,2,2,2,none,yes,skilled employee
< $0,24,repaid,new vehicle,1285,unknown,4 - 7 yrs,4,female,none,4,unknown,32,none,rent,1,2,1,none,yes,skilled employee
> $1000,6,critical,new vehicle,1299,< $500,1 - 4 yrs,1,single male,none,1,real estate,74,none,own,3,1,2,none,no,unemployed non-resident
> $1000,15,critical,electronics/home entertainment,1271,unknown,1 - 4 yrs,3,single male,none,4,unknown,39,none,for free,2,2,1,yes,yes,skilled employee
unknown,24,repaid,new vehicle,1393,< $500,1 - 4 yrs,2,single male,guarantor,2,real estate,31,none,own,1,1,1,yes,yes,skilled employee
< $0,12,critical,new vehicle,691,< $500,> 7 yrs,4,single male,none,3,building society savings,35,none,own,2,2,1,none,yes,skilled employee
unknown,15,critical,new vehicle,5045,unknown,> 7 yrs,1,female,none,4,other,59,none,own,1,1,1,yes,yes,skilled employee
< $0,18,critical,furniture,2124,< $500,1 - 4 yrs,4,female,none,4,real estate,24,none,rent,2,2,1,none,yes,skilled employee
< $0,12,repaid,electronics/home entertainment,2214,< $500,1 - 4 yrs,4,single male,none,3,building society savings,24,none,own,1,1,1,none,yes,unskilled resident
unknown,21,critical,new vehicle,12680,unknown,> 7 yrs,4,single male,none,4,unknown,30,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,24,critical,new vehicle,2463,$1001 - $2000,4 - 7 yrs,4,married male,none,3,building society savings,27,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,12,repaid,electronics/home entertainment,1155,< $500,> 7 yrs,3,married male,guarantor,3,real estate,40,bank,own,2,1,1,none,yes,unskilled resident
< $0,30,repaid,furniture,3108,< $500,0 - 1 yrs,2,divorced male,none,4,building society savings,31,none,own,1,2,1,none,yes,unskilled resident
unknown,10,repaid,used vehicle,2901,unknown,0 - 1 yrs,1,female,none,4,real estate,31,none,rent,1,1,1,none,yes,skilled employee
$1 - $1000,12,critical,furniture,3617,< $500,> 7 yrs,1,single male,none,4,other,28,none,rent,3,1,1,yes,yes,skilled employee
unknown,12,critical,electronics/home entertainment,1655,< $500,> 7 yrs,2,single male,none,4,real estate,63,none,own,2,1,1,yes,yes,unskilled resident
< $0,24,repaid,used vehicle,2812,unknown,> 7 yrs,2,female,none,4,real estate,26,none,rent,1,1,1,none,yes,skilled employee
< $0,36,critical,education,8065,< $500,1 - 4 yrs,3,female,none,2,unknown,25,none,own,2,2,1,yes,yes,mangement self-employed
unknown,21,critical,used vehicle,3275,< $500,> 7 yrs,1,single male,none,4,other,36,none,own,1,1,1,yes,yes,mangement self-employed
unknown,24,critical,electronics/home entertainment,2223,$1001 - $2000,> 7 yrs,4,single male,none,4,building society savings,52,bank,own,2,1,1,none,yes,skilled employee
> $1000,12,critical,new vehicle,1480,$501 - $1000,unemployed,2,single male,none,4,unknown,66,bank,for free,3,1,1,none,yes,unemployed non-resident
< $0,24,repaid,new vehicle,1371,unknown,1 - 4 yrs,4,female,none,4,real estate,25,none,rent,1,2,1,none,yes,skilled employee
